id,name,hotel_id,address,link_hotel,city_id,quality,rating,number_people_rating,description,distance,image,price
136,"Hanoi Chic Hotel",hotel_274137,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/iOCRw3,6228,3,9.2,2217,"Phòng Superior Giường Đôi hoặc 2 Giường Đơn","105.848666131496,21.0319028630921",https://is.gd/Tk9js4,343050
137,"Rising Dragon Palace Hotel",hotel_250168,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/OIcXSl,6228,3,9.2,2382,"Ưu Đãi Sử Dụng Trong Ngày (6 Giờ) - Phòng Superior","105.847062170506,21.034786892793",https://is.gd/is2Iqe,212500
138,"Dal Vostro Hotel & Spa",hotel_3249175,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/lqQhLn,6228,4,8.9,1085,"Phòng Deluxe Giường Đôi","105.850200388885,21.0307417517939",https://is.gd/52NQ3k,664331
139,"Melia Hanoi",hotel_71048,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/wO4UB6,6228,5,8.9,477,"Phòng Deluxe","105.847907066345,21.0243795888964",https://is.gd/Ru3YP8,2974472
140,"Grande Collection Hotel & Spa",hotel_300447,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/k7BtGV,6228,4,9.3,510,"Phòng Deluxe Giường Đôi","105.847510099411,21.0346617190516",https://is.gd/0VsAcj,735000
141,"Queen Light Hotel",hotel_2073025,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/JafiIE,6228,3,8.8,1045,"Sử Dụng Trong Ngày 3 Giờ","105.847770635582,21.0342624547299",https://is.gd/Q8gwnd,220000
142,"Lotte Hotel Hanoi",hotel_1093646,"Quận Ba Đình, Hà Nội",https://is.gd/lkoR9j,6228,5,9.1,594,"Phòng Deluxe Có Giường Cỡ King","105.812703073025,21.0319496476565",https://is.gd/8WaxjA,3450000
143,"JM Marvel Hotel & Spa",hotel_3066066,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/sCRfiy,6228,4,9.5,969,"Phòng Deluxe Giường Đôi - Sử Dụng Trong Ngày (4 Giờ)","105.846654,21.030981",https://is.gd/ZNUi4p,586500
144,"Hanoi House Hostel & Travel",hotel_293792,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/WRFCq6,6228,3,9.3,801,"Phòng Deluxe - Sử Dụng Trong Ngày (4 Giờ)","105.853464603424,21.0345039999878",https://is.gd/oZ7maz,199750
145,"Shining Central Hotel & Spa",hotel_5597157,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/FGB5Te,6228,4,9.4,437,"Phòng Superior Giường Đôi hoặc 2 Giường Đơn","105.855279,21.031617",https://is.gd/mkKscV,750000
146,"Dragon Pearl Hotel",hotel_308730,"Quận Ba Đình, Hà Nội",https://is.gd/u6XqcZ,6228,3,9.3,2465,"Ưu Đãi Sử Dụng Trong Ngày (6 Giờ) - Phòng Superior Giường Đôi/2 Giường Đơn","105.845503807068,21.039911415473",https://is.gd/DUWpgI,212500
147,"Canary Hotel",hotel_369175,"Quận Hai Bà Trưng, Hà Nội",https://is.gd/YyP3YL,6228,4,8.8,214,"Phòng Deluxe Giường Đôi/2 Giường Đơn","105.841963291168,21.0194873792492",https://is.gd/nFbRxk,561000
